component,Index
鹽,1
水,2
糖,3
醬油,4
米酒,5
洋蔥,6
雞蛋,7
蒜頭,8
低筋麵粉,9
砂糖,10
蛋,11
無鹽奶油,12
牛奶,13
鹽巴,14
紅蘿蔔,15
奶油,16
蔥,17
香油,18
辣椒,19
細砂糖,20
橄欖油,21
,22
中筋麵粉,23
蒜末,24
白胡椒粉,25
胡椒粉,26
黑胡椒,27
檸檬汁,28
薑,29
蛋黃,30
鮮奶,31
太白粉,32
高筋麵粉,33
油,34
馬鈴薯,35
青蔥,36
鮮奶油,37
糖粉,38
蔥花,39
蜂蜜,40
薑片,41
蛋白,42
麻油,43
高麗菜,44
豬絞肉,45
小黃瓜,46
冰糖,47
大蒜,48
香菜,49
香菇,50
全蛋,51
麵粉,52
泡打粉,53
玉米粉,54
沙拉油,55
醬油膏,56
蠔油,57
白飯,58
白醋,59
檸檬,60
蒜,61
白芝麻,62
乾香菇,63
白砂糖,64
白胡椒,65
薑末,66
味霖,67
黑糖,68
黑胡椒粉,69
魚露,70
番茄醬,71
杏鮑菇,72
雞胸肉,73
南瓜,74
香草精,75
味醂,76
絞肉,77
植物油,78
酒,79
海鹽,80
塩,81
白蘿蔔,82
高湯,83
可可粉,84
番茄,85
枸杞,86
胡椒,87
糯米粉,88
奶粉,89
蝦米,90
地瓜粉,91
烏醋,92
培根,93
蘋果,94
酵母粉,95
蝦仁,96
熱水,97
金針菇,98
酵母,99
速發酵母,100
白米,101
芹菜,102
地瓜,103
奶油乳酪,104
玉米筍,105
清水,106
薑絲,107
紅蔥頭,108
油蔥酥,109
蘑菇,110
義大利麵,111
動物性鮮奶油,112
米,113
花椰菜,114
黑胡椒粒,115
芋頭,116
冷水,117
蒜泥,118
胡蘿蔔,119
紅棗,120
開水,121
月桂葉,122
抹茶粉,123
蕃茄,124
蕃茄醬,125
老薑,126
雞粉,127
醋,128
白酒,129
蛤蜊,130
麵包粉,131
香蕉,132
豆腐,133
青椒,134
玉米粒,135
小番茄,136
牛番茄,137
肉桂粉,138
蔥段,139
蔥末,140
板豆腐,141
草莓,142
冷開水,143
起司片,144
紅辣椒,145
胡椒鹽,146
茄子,147
美乃滋,148
起司,149
海苔,150
辣豆瓣醬,151
紅蘿蔔絲,152
蛋液,153
紹興酒,154
義大利香料,155
黑木耳,156
溫水,157
鴻喜菇,158
玉米,159
絲瓜,160
蝦子,161
無糖可可粉,162
火腿,163
韭菜,164
食用油,165
吐司,166
吉利丁片,167
杏仁粉,168
蘆筍,169
無鋁泡打粉,170
排骨,171
素蠔油,172
辣椒粉,173
豆瓣醬,174
木耳,175
雞腿肉,176
咖哩粉,177
全蛋液,178
薑泥,179
去骨雞腿肉,180
鮭魚,181
菠菜,182
葡萄乾,183
芒果,184
太白粉水,185
黑芝麻,186
雞高湯,187
芝麻,188
秋葵,189
味噌,190
白糖,191
煉乳,192
雞腿,193
苦瓜,194
起司粉,195
乾辣椒,196
核桃,197
肉絲,198
鹹蛋,199
紅椒,200
皮蛋,201
柴魚片,202
泡菜,203
嫩豆腐,204
在來米粉,205
起司絲,206
冰水,207
迷迭香,208
鮮味炒手,209
大白菜,210
牛蕃茄,211
透抽,212
辣椒末,213
豬肉絲,214
青江菜,215
紅豆,216
鮮蝦,217
巧克力,218
小蕃茄,219
雞肉,220
牛肉,221
蒜苗,222
沙茶醬,223
去骨雞腿,224
咖哩塊,225
鬆餅粉,226
鴻禧菇,227
清酒,228
水煮蛋,229
蒜片,230
冬粉,231
鮮香菇,232
冰塊,233
豬油,234
低粉,235
豆干,236
豬肉,237
速發酵母粉,238
香菇素蠔油,239
南瓜泥,240
蘭姆酒,241
鳳梨,242
蛤蠣,243
豬肉片,244
櫛瓜,245
紅甜椒,246
紅酒,247
乳酪絲,248
沙拉醬,249
杏仁片,250
西洋芹,251
調味料,252
日式醬油,253
薄鹽醬油,254
牛油,255
全麥麵粉,256
優格,257
雞蛋豆腐,258
苦甜巧克力,259
酪梨,260
甜椒,261
花椒,262
椰奶,263
白蝦,264
黑醋,265
水餃皮,266
芝麻油,267
義式香料,268
小蘇打粉,269
牛絞肉,270
吉利丁,271
紅糖,272
原味優格,273
吉利丁粉,274
消化餅乾,275
生菜,276
豆芽菜,277
韓式辣醬,278
花椒粒,279
雪白菇,280
鮪魚罐頭,281
空心菜,282
檸檬皮,283
柴魚粉,284
味精,285
奇異果,286
百里香,287
黃甜椒,288
烹大師,289
牛肉片,290
洋菇,291
肉鬆,292
鰹魚粉,293
黑麻油,294
藍莓,295
蝦,296
辣椒醬,297
米粉,298
綠花椰菜,299
薑黃粉,300
鹹蛋黃,301
樹薯粉,302
檸檬皮屑,303
嫩薑,304
小白菜,305
洋蔥絲,306
黃椒,307
熱開水,308
豆乾,309
山藥,310
高麗菜絲,311
花生粉,312
雞翅,313
花生醬,314
韓式泡菜,315
